10	0	57	6
41	0	40	0
60	0	8	7
69	0	0	3
71	0	0	5
66	43	0	18
32	89	0	17
0	89	0	7
0	91	4	13
0	80	85	32
0	3	115	19
0	0	122	13
103	0	106	45
132	0	0	20
140	44	0	37
84	141	0	51
0	126	0	11
0	126	80	45
0	36	138	34
0	0	132	19
104	0	113	46
128	0	0	21
128	19	0	27
86	121	0	46
0	123	0	14
0	123	39	30
0	71	121	39
0	0	117	8
51	0	118	32
114	0	54	33
108	0	0	7
115	59	0	35
53	116	0	34
0	109	0	6
0	108	54	32
0	55	115	32
0	0	109	5
41	0	108	26
102	0	57	29
103	0	0	7
107	32	0	24
58	102	0	34
0	105	0	12
0	99	3	13
0	78	83	31
0	0	103	14
0	0	100	7
60	0	89	25
93	0	26	19
91	0	0	4
92	34	0	19
55	88	0	26
0	94	0	9
0	97	0	7
0	77	58	22
0	23	87	17
0	0	89	3
19	0	84	13
69	0	58	19
82	0	0	8
81	0	0	4
76	32	0	16
43	74	0	19
0	83	0	6
0	78	0	2
0	83	33	12
0	38	68	16
0	0	81	5
0	0	75	3
26	0	66	12
60	0	36	12
71	0	0	5
73	0	0	3
65	19	0	9
43	56	0	13
2	68	0	7
0	72	0	3
0	68	14	4
0	54	51	10
0	18	60	8
0	0	67	3
0	0	66	2
12	0	56	5
40	0	38	7
55	0	6	5
62	0	0	2
59	0	0	2
49	20	0	6
32	43	0	7
4	54	0	4
0	57	0	2
0	57	0	2
0	46	9	4
0	9	36	6
0	0	56	3
0	0	57	1
2	0	48	3
18	0	38	2
34	0	19	3
43	0	0	2
50	0	0	1
50	0	0	1
43	0	0	2
34	19	0	2
19	33	0	4
1	41	0	3
0	45	0	4
0	60	0	2
0	41	0	2
0	34	8	3
0	25	20	2
0	13	29	0
0	0	39	1
0	0	43	2
0	0	43	1
0	0	39	1
4	0	33	0
14	0	24	2
23	0	14	0
27	0	4	2
32	0	0	2
33	0	0	1
33	0	0	10
32	0	0	1
28	2	0	2
24	9	0	1
18	16	0	1
10	21	0	2
3	28	0	2
0	28	0	2
0	30	0	2
0	29	0	2
0	28	0	2
0	27	0	2
0	22	2	3
0	18	5	2
0	15	10	2
0	11	16	2
0	6	16	2
0	3	19	2
0	0	20	2
0	0	22	2
0	0	22	2
0	0	21	1
0	0	19	2
0	0	18	2
0	0	16	1
0	0	15	2
1	0	14	2
2	0	12	2
5	0	10	2
7	0	9	2
7	0	7	2
9	0	5	2
11	0	2	1
10	0	0	1
10	0	0	2
10	0	0	2
11	0	0	1
11	0	0	2
10	0	0	2
10	0	0	1
10	0	0	1
9	0	0	1
8	0	0	2
9	0	0	2
10	0	0	1
7	0	0	2
6	0	0	2
5	0	0	1
4	0	0	0
4	3	0	1
3	0	0	2
2	0	0	2
2	0	0	2
1	0	2	1
0	0	0	1
1	0	2	1
0	0	0	3
0	0	0	2
0	0	1	2
0	0	0	2
0	0	1	1
0	0	1	0
0	0	2	2
0	0	2	1
0	1	2	2
0	0	2	1
0	0	2	6
0	0	1	2
0	1	1	2
0	4	1	1
0	0	1	3
0	4	0	2
0	1	0	2
10	0	0	3
0	0	1	2
0	2	0	2
13	0	0	2
7	0	0	2
0	0	0	13
0	0	0	4
0	0	0	1
4	0	0	0
0	0	0	2
0	0	0	1
0	0	0	2
0	0	0	2
0	0	0	2
0	0	0	2
0	0	0	3
